subgroup,pass_percentage,pyramid,subject,middle_school
All Students,92,Chantilly,English Reading,Rocky Run
Female,93,Chantilly,English Reading,Rocky Run
Male,91,Chantilly,English Reading,Rocky Run
American Indian,100,Chantilly,English Reading,Rocky Run
Asian,97,Chantilly,English Reading,Rocky Run
Black,89,Chantilly,English Reading,Rocky Run
Hispanic,74,Chantilly,English Reading,Rocky Run
Native Hawaiian,100,Chantilly,English Reading,Rocky Run
White,93,Chantilly,English Reading,Rocky Run
Multiple Races,91,Chantilly,English Reading,Rocky Run
Students with Disabilities,68,Chantilly,English Reading,Rocky Run
Students without Disabilities,94,Chantilly,English Reading,Rocky Run
Economically Disadvantaged,75,Chantilly,English Reading,Rocky Run
Not Economically Disadvantaged,96,Chantilly,English Reading,Rocky Run
English Learners,33,Chantilly,English Reading,Rocky Run
Homeless,100,Chantilly,English Reading,Rocky Run
Military Connected,93,Chantilly,English Reading,Rocky Run