division,pyramid,elementary_school,ethnicity,pop_num,pop_percentage,source
FCPS,Chantilly,Poplar Tree,Asian,308,45.5,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:264,0"
FCPS,Chantilly,Poplar Tree,Black (Not Of Hispanic Origin),38,5.6,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:264,1"
FCPS,Chantilly,Poplar Tree,Hispanic Or Latino,58,8.6,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:264,2"
FCPS,Chantilly,Poplar Tree,White (Not Of Hispanic Origin),246,36.3,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:264,3"
FCPS,Chantilly,Poplar Tree,Other,27,4,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:264,4"
FCPS,Chantilly,Oak Hill,Asian,270,38.2,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:333,0"
FCPS,Chantilly,Oak Hill,Black (Not Of Hispanic Origin),24,3.4,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:333,1"
FCPS,Chantilly,Oak Hill,Hispanic Or Latino,59,8.4,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:333,2"
FCPS,Chantilly,Oak Hill,White (Not Of Hispanic Origin),302,42.8,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:333,3"
FCPS,Chantilly,Oak Hill,Other,51,7.2,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:333,4"
FCPS,Chantilly,Lees Corner,Asian,195,32.1,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:252,0"
FCPS,Chantilly,Lees Corner,Black (Not Of Hispanic Origin),32,5.3,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:252,1"
FCPS,Chantilly,Lees Corner,Hispanic Or Latino,77,12.7,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:252,2"
FCPS,Chantilly,Lees Corner,White (Not Of Hispanic Origin),242,39.9,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:252,3"
FCPS,Chantilly,Lees Corner,Other,61,10.1,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:252,4"
FCPS,Chantilly,Greenbriar West,Asian,272,42.2,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:255,0"
FCPS,Chantilly,Greenbriar West,Black (Not Of Hispanic Origin),36,5.6,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:255,1"
FCPS,Chantilly,Greenbriar West,Hispanic Or Latino,71,11,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:255,2"
FCPS,Chantilly,Greenbriar West,White (Not Of Hispanic Origin),225,34.9,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:255,3"
FCPS,Chantilly,Greenbriar West,Other,41,6.4,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:255,4"
FCPS,Chantilly,Greenbriar East,Asian,197,21.4,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:254,0"
FCPS,Chantilly,Greenbriar East,Black (Not Of Hispanic Origin),85,9.3,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:254,1"
FCPS,Chantilly,Greenbriar East,Hispanic Or Latino,205,22.3,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:254,2"
FCPS,Chantilly,Greenbriar East,White (Not Of Hispanic Origin),377,41,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:254,3"
FCPS,Chantilly,Greenbriar East,Other,55,6,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:254,4"
FCPS,Chantilly,Brookfield,Asian,152,21.5,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:263,0"
FCPS,Chantilly,Brookfield,Black (Not Of Hispanic Origin),60,8.5,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:263,1"
FCPS,Chantilly,Brookfield,Hispanic Or Latino,357,50.5,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:263,2"
FCPS,Chantilly,Brookfield,White (Not Of Hispanic Origin),110,15.6,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:263,3"
FCPS,Chantilly,Brookfield,Other,28,4,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:263,4"