high_school,pyramid,subject,subgroup,pass_percentage
Fairfax,Fairfax,English Reading,All Students,90
Fairfax,Fairfax,English Reading,Female,90
Fairfax,Fairfax,English Reading,Male,89
Fairfax,Fairfax,English Reading,American Indian,100
Fairfax,Fairfax,English Reading,Asian,92
Fairfax,Fairfax,English Reading,Black,84
Fairfax,Fairfax,English Reading,Hispanic,79
Fairfax,Fairfax,English Reading,White,96
Fairfax,Fairfax,English Reading,Multiple Races,97
Fairfax,Fairfax,English Reading,Students with Disabilities,68
Fairfax,Fairfax,English Reading,Students without Disabilities,92