elementary_school,ethnicity,pop_percentage
Daniels Run,Asian,11.5
Eagle View,Asian,23.58
Providence,Asian,14.67
Willow Springs,Asian,33.22
Daniels Run,Black (Not Of Hispanic Origin),4.33
Eagle View,Black (Not Of Hispanic Origin),15.72
Providence,Black (Not Of Hispanic Origin),5.94
Willow Springs,Black (Not Of Hispanic Origin),5.33
Daniels Run,Hispanic Or Latino,34.24
Eagle View,Hispanic Or Latino,14.47
Providence,Hispanic Or Latino,37.72
Willow Springs,Hispanic Or Latino,7.56
Daniels Run,Other,6.67
Eagle View,Other,7.55
Providence,Other,8.85
Willow Springs,Other,7.89
Daniels Run,White (Not Of Hispanic Origin),43.26
Eagle View,White (Not Of Hispanic Origin),38.68
Providence,White (Not Of Hispanic Origin),32.83
Willow Springs,White (Not Of Hispanic Origin),46
Fairfax Pyramid Average,Asian,20.74
Fairfax Pyramid Average,Black (Not Of Hispanic Origin),7.83
Fairfax Pyramid Average,Hispanic Or Latino,23.50
Fairfax Pyramid Average,Other,7.74
Fairfax Pyramid Average,White (Not Of Hispanic Origin),38.26